#;
# OntoWiki German language translation;
# Encoding:  UTF-8;
# Separator: ;
#;
;
#Buttons;
Back;Zurück
Submit;Absenden
Cancel;Abbrechen
Save Changes;Änderungen speichern
Reset Form;Formular zurücksetzen
Edit Instances;Instanzen bearbeiten
Edit Properties;Eigenschaften bearbeiten
Add Property;Eigenschaft hinzufügen
Delete;Löschen
Clone;Klonen
Save Source;Quellcode speichern
more;mehr
;
;
moments ago;gerade eben
approx. 1 minute ago;vor einer Minute
approx. %d minutes ago;vor %d Minuten
approx. 1 hour ago;vor einer Stunde
approx. %d hours ago;vor %d Stunden
approx. %d days ago;vor %d Tagen
Rendered in %1$d microseconds using %2$d SPARQL queries.;Gerendert in %1$d Mikrosekunden mit %2$d SPARQL-Abfragen.
;
;
# test;
page1;Seite 1
page2;Seite 2
;
;
# Module;
Search all Knowledge Bases;Alle Wissensbasen durchsuchen
Search Text;Suchtext
Knowledge Bases;Wissensbasen
Create Knowledge Base;Wissensbasis erstellen
Show Hidden Knowledge Bases;Versteckte Wissensbasen anzeigen
Hide Hidden Knowledge Bases;Versteckte Wissensbasen verbergen
Languages (Tagged Literals);Sprachen (ausgezeichnete Labels)
none;keine
Classes;Klassen
Create Class;Klasse erstellen
Show Empty Classes;Leere Klassen anzeigen
Hide Empty Classes;Leere Klassen ausblenden
Show System Classes;Systemklassen anzeigen
Hide System Classes;Systemklassen ausblenden
Show Hidden Classes;Versteckte Klassen anzeigen
Hide Hidden Classes;Versteckte Klassen ausblenden
Most Popular | Most Active;Populär | Aktiv
Rec. Changes;Änderungen
Rec. Comments;Kommentare
Login;Anmeldung
No matches.;Keine Entsprechungen.
Predicates;Prädikate
Similar Instances;Ähnliche Instanzen
Usage as Property;Auftreten als Prädikat
Not implemented yet.;Noch nicht implementiert.
Latest Changes;Aktuelle Änderungen
There are no changes yet.;Es gibt noch keine Änderungen.
Latest Comments;Aktuelle Kommentare
Latest Discussions;Aktuelle Diskussionen
Comments, Descriptions and Notes;Kurzbeschreibung
Actions;Aktionen
There are no comments, descriptions or notes on this knowledge base.;Es sind keine Kommentare, Beschreibungen oder Anmerkungen in der Wissensbasis enthalten.
view all resources;Alle Ressourcen anzeigen
Search for Resources;Suche nach Ressourcen
Source;Quellcode
by;von
Objects;Objekte
Subjects;Subjekte
Model info;Wissensbasis Info
Delete Knowledgebase?;Wissensbasis löschen?
Do you really want to delete this model?;Wollen Sie die ausgewählte Wissensbasis wirklich löschen?
Resource List;Listenansicht
Versions for elements of the list;Versionen vonListenelementen
No change reason given.;Kein Änderungsgrund angegeben.
No history for the selected resource(s).;Keine Versionen der ausgewählte(n) Ressource(n) vorhanden.
Instances linking here;Verweisende Instanzen
Imported from;Importiert aus
;
;
# Komponenten;
# TODO: sollten Komponenten ihre Übersetzung selbst verwalten?;
Properties;Eigenschaften
Instances;Instanzen
Calendar;Kalender
History;Versionen
Map;Karte
;
# application menu;
User;Benutzer
Register New User;Neuen Benutzer registrieren
Preferences;Einstellungen
Logout;Abmelden
View;Ansicht
Edit;Bearbeiten
;
Extras;Extras
Select Metadata Collections;Metadatenkollektionen: Auswahlliste
Configure Extensions;Erweiterungen konfigurieren
Configure Index;Index konfigurieren
Select Language;Sprachauswahl | Select Language
Queries;Abfragen
News;Neuigkeiten
Documentation;Dokumentation
Bug Report;Fehler melden
Version Info;Versionsinfo
About;Über
File Manager;Dateiverwaltung
;
Clear Module Cache;Module Cache leeren
Clear Translation Cache;Translation Cache leeren
Clear Object & Query Cache;Object & Query Cache leeren
Start xdebug Session;xdebug Session starten
Reset Session;Sitzung zurücksetzen
;
Help;Hilfe
;
;
#Pager;
First;Erste
Previous;Vorherige
Next;Nächste
Last;Letzte
;
